,formula,T,target,ei,predicted_property,std,wt_pct
1562884,Nb78.8Zr1.2Ta8.0W12.1,24,0,11.187335083029264,859.6262287994654,129.0666589396151,Nb66Zr1Ta13W20
1562864,Nb79.5Zr1.2Ta7.3W12.0,24,0,11.187335083029264,859.6262287994654,129.0666589396151,Nb67Zr1Ta12W20
1634684,Nb86.2Hf0.6Ta1.7W11.5,24,0,11.01173414645072,861.6415460612229,127.01975875134313,Nb76Hf1Ta3W20
1652966,Nb84.8Hf3.6W10.4Re1.1,24,0,10.966827578545853,854.7239723660815,131.3979013812348,Nb74Hf6W18Re2
1635284,Nb78.5Hf1.3Ta8.1W12.2,24,0,10.907519805067817,858.449425188995,128.70495917441255,Nb65Hf2Ta13W20
1634704,Nb85.5Hf0.6Ta2.3W11.5,24,0,10.87537871305397,859.6039993700836,127.81241314476445,Nb75Hf1Ta4W20
1652166,Nb86.2Hf2.4W10.3Re1.1,24,0,10.849206479659212,858.4568573581732,128.46099833619675,Nb76Hf4W18Re2
1653006,Nb83.5Hf3.6W11.7Re1.2,24,0,10.830672913388085,861.1711109542573,126.59562498178603,Nb72Hf6W20Re2
1652585,Nb85.5Hf3.0W10.9Re0.6,24,0,10.81699783017406,855.6150134872317,130.1943749204731,Nb75Hf5W19Re1
1652605,Nb84.9Hf3.0W11.6Re0.6,24,0,10.785717182580665,860.9172494327399,126.57978477043464,Nb74Hf5W20Re1
1652205,Nb85.5Hf2.4W11.5Re0.6,24,0,10.785035424677243,860.9516069057292,126.55433168987608,Nb75Hf4W20Re1
1635103,Nb85.5Hf1.2Ta2.3W10.9,24,0,10.75145189673811,857.3501121458,128.78589011968123,Nb75Hf2Ta4W19
1634764,Nb83.5Hf0.6Ta4.2W11.7,24,0,10.73916476288058,857.7566107502533,128.46845245550602,Nb72Hf1Ta7W20
1634744,Nb84.2Hf0.6Ta3.6W11.7,24,0,10.6624986398426,858.135257853327,127.90353218176175,Nb73Hf1Ta6W20
1634724,Nb84.9Hf0.6Ta2.9W11.6,24,0,10.661866055659704,858.1396325720176,127.89804979866867,Nb74Hf1Ta5W20
1662106,Nb84.9Ta5.3W8.7Re1.1,24,0,10.54109709611432,856.0241599542237,128.78049131551953,Nb74Ta9W15Re2
1579405,Nb85.9Zr2.3W11.3Re0.6,24,0,10.540099058014498,859.5655032472597,126.45990827606728,Nb77Zr2W20Re1
1635264,Nb79.2Hf1.2Ta7.4W12.1,24,0,10.518714028154683,856.9121841255408,128.10751818903083,Nb66Hf2Ta12W20
1635244,Nb80.0Hf1.2Ta6.7W12.1,24,0,10.518714028154683,856.9121841255408,128.10751818903083,Nb67Hf2Ta11W20
1563084,Nb84.6Zr2.3Ta1.7W11.4,24,0,10.5087042615114,852.2695626267125,131.08749965843822,Nb75Zr2Ta3W20
1662125,Nb84.9Ta5.3W9.3Re0.6,24,0,10.495515547272564,855.725763181326,128.78471751212257,Nb74Ta9W16Re1
1634703,Nb86.2Hf0.6Ta2.3W10.9,24,0,10.489972324863327,855.7656477007114,128.73554698282035,Nb76Hf1Ta4W19
1635503,Nb84.8Hf1.8Ta2.4W11.0,24,0,10.348940364126918,853.1757317410477,129.82517135991426,Nb74Hf3Ta4W19
1635162,Nb84.2Hf1.2Ta4.1W10.5,24,0,10.311395557988455,850.3252162807486,131.5080964818257,Nb73Hf2Ta7W18
1635304,Nb77.7Hf1.3Ta8.7W12.3,24,0,10.24473423667743,855.7407757786193,127.72200872593135,Nb64Hf2Ta14W20
1578985,Nb87.7Zr1.1W10.7Re0.6,24,0,10.220843072328279,855.7136426472982,127.63882968624158,Nb79Zr1W19Re1
1652606,Nb84.2Hf3.0W11.7Re1.2,24,0,10.196693066624764,858.4695835617397,125.74668686488016,Nb73Hf5W20Re2
1658985,Nb88.2Ta0.6W10.7Re0.6,24,0,10.190361386322909,855.666525183873,127.54066466657736,Nb79Ta1W19Re1
1562723,Nb85.0Zr1.2Ta2.9W10.9,24,0,10.117447179907362,854.2714290917894,128.1344857036037,Nb75Zr1Ta5W19
1634762,Nb84.9Hf0.6Ta4.1W10.4,24,0,10.098710046504507,854.2543344112884,128.06583166653013,Nb74Hf1Ta7W18
1194860,Nb81.5V2.1Ta7.1W9.3,24,0,10.08793586365703,856.0906397428724,126.83262232676525,Nb71V1Ta12W16
1653406,Nb82.8Hf4.2W11.8Re1.2,24,0,10.085307110578523,858.2430762838283,125.42594024300811,Nb71Hf7W20Re2
1635523,Nb84.2Hf1.8Ta3.0W11.1,24,0,10.083746896266295,851.9923741007302,129.46055677724223,Nb73Hf3Ta5W19
1651805,Nb86.2Hf1.8W11.5Re0.6,24,0,10.004847910931154,859.067141397893,124.5520171095082,Nb76Hf3W20Re1
1659765,Nb87.5Ta1.7W10.2Re0.6,24,0,9.97812845497495,852.890524568795,128.42986388511179,Nb78Ta3W18Re1
1562802,Nb83.0Zr1.2Ta5.3W10.5,24,0,9.924255035997827,848.8428261312376,130.7931140994413,Nb72Zr1Ta9W18
1562782,Nb83.7Zr1.2Ta4.7W10.4,24,0,9.92342798524341,848.8603618912236,130.7783110445672,Nb73Zr1Ta8W18
1562743,Nb84.4Zr1.2Ta3.5W10.9,24,0,9.872761400552864,852.6689245896421,128.11936374173425,Nb74Zr1Ta6W19
1635123,Nb84.9Hf1.2Ta2.9W11.0,24,0,9.871449241999507,852.6681454150998,128.11421115386048,Nb74Hf2Ta5W19
1634723,Nb85.5Hf0.6Ta2.9W10.9,24,0,9.869870288765728,852.686992618087,128.09531066104324,Nb75Hf1Ta5W19
1563144,Nb82.5Zr2.3Ta3.5W11.6,24,0,9.836110376218276,850.2428867207624,129.51516500554828,Nb72Zr2Ta6W20
1563124,Nb83.2Zr2.3Ta2.9W11.5,24,0,9.836024442735834,850.2536585235076,129.50790393952263,Nb73Zr2Ta5W20
1563104,Nb83.9Zr2.3Ta2.3W11.5,24,0,9.835046660236486,850.2580332421984,129.50086124885877,Nb74Zr2Ta4W20
1635844,Nb85.5Hf2.4Ta0.6W11.5,24,0,9.800185006973265,851.9608924444858,128.25999039072371,Nb75Hf4Ta1W20
1660088,Nb87.5Ta2.3W7.9Re2.2,24,0,9.719642870397966,846.9516187445074,131.1040137396109,Nb78Ta4W14Re4
1651366,Nb87.5Hf1.2W10.2Re1.1,24,0,9.709137126233983,853.7050865408653,126.74875118154895,Nb78Hf2W18Re2
1662506,Nb84.2Ta5.9W8.7Re1.2,24,0,9.705961354993939,851.4654886162627,128.1681607481222,Nb73Ta10W15Re2
1635182,Nb83.5Hf1.2Ta4.8W10.5,24,0,9.637441584748181,846.1344815413396,131.2599846807473,Nb72Hf2Ta8W18
1651766,Nb86.9Hf1.8W10.3Re1.1,24,0,9.554780376265036,853.6136435908035,126.13817030989489,Nb77Hf3W18Re2
1659385,Nb87.5Ta1.2W10.8Re0.6,24,0,9.553745896777983,853.6676912801813,126.09913540604482,Nb78Ta2W19Re1
1659785,Nb86.9Ta1.7W10.8Re0.6,24,0,9.553143656798067,853.666122110364,126.09751990209328,Nb77Ta3W19Re1
1662525,Nb84.2Ta5.9W9.3Re0.6,24,0,9.51029101596976,849.3407902778519,128.66491413017923,Nb73Ta10W16Re1
1652108,Nb86.9Hf2.3W8.6Re2.3,24,0,9.445642652751562,847.1570527943394,129.7624760934344,Nb77Hf4W15Re4
1653407,Nb82.1Hf4.3W11.9Re1.8,24,0,9.431488706802984,856.8707760711637,123.51975436991053,Nb70Hf7W20Re3
1194781,Nb83.6V2.1Ta4.6W9.7,24,0,9.4269102431272,848.907535092332,128.57148652229503,Nb74V1Ta8W17
1634821,Nb83.5Hf0.6Ta6.0W10.0,24,0,9.404213003307916,845.3144103624358,130.74113387439888,Nb72Hf1Ta10W17
1579385,Nb86.5Zr2.3W10.7Re0.6,24,0,9.391524711219315,847.3129746470464,129.42326276208684,Nb78Zr2W19Re1
1563184,Nb81.2Zr2.4Ta4.8W11.7,24,0,9.3497015563926,847.4481451944629,129.15162139754236,Nb70Zr2Ta8W20
1563164,Nb81.9Zr2.3Ta4.1W11.7,24,0,9.345174183611036,847.4779808833823,129.11260560294025,Nb71Zr2Ta7W20
1634784,Nb82.8Hf0.6Ta4.8W11.8,24,0,9.341044275857548,850.247438279605,127.3426101479623,Nb71Hf1Ta8W20
