,formula,T,target,ei,predicted_property,std,wt_pct
1651385,Nb87.5Hf1.2W10.8Re0.6,24,0,8.976710072602444,1314.6457059469308,179.28834837153667,Nb78Hf2W19Re1
1652605,Nb84.9Hf3.0W11.6Re0.6,24,0,8.95770927898327,1311.8294809101556,180.80654035087528,Nb74Hf5W20Re1
1652205,Nb85.5Hf2.4W11.5Re0.6,24,0,8.938062664638604,1311.9409579450348,180.6334150668512,Nb75Hf4W20Re1
1652166,Nb86.2Hf2.4W10.3Re1.1,24,0,8.918435260458537,1312.6993221052116,180.088054610272,Nb76Hf4W18Re2
1653006,Nb83.5Hf3.6W11.7Re1.2,24,0,8.874986860975916,1311.5137975455843,180.52844335495536,Nb72Hf6W20Re2
1662506,Nb84.2Ta5.9W8.7Re1.2,24,0,8.840922158358438,1306.847171360821,183.01414537038988,Nb73Ta10W15Re2
1194860,Nb81.5V2.1Ta7.1W9.3,24,0,8.80510939468937,1315.8631028113011,177.63845697788665,Nb71V1Ta12W16
1563144,Nb82.5Zr2.3Ta3.5W11.6,24,0,8.750057947085722,1308.3547019244304,181.63961419586818,Nb72Zr2Ta6W20
1563124,Nb83.2Zr2.3Ta2.9W11.5,24,0,8.742335003151332,1308.4181062195767,181.55979538473517,Nb73Zr2Ta5W20
1563104,Nb83.9Zr2.3Ta2.3W11.5,24,0,8.741366835276576,1308.401850201057,181.5636326976714,Nb74Zr2Ta4W20
1652606,Nb84.2Hf3.0W11.7Re1.2,24,0,8.690901089363972,1310.8881067113605,179.85667316223234,Nb73Hf5W20Re2
1194900,Nb80.1V2.1Ta8.3W9.4,24,0,8.622375486502776,1312.4876413492645,178.555380251616,Nb69V1Ta14W16
1651805,Nb86.2Hf1.8W11.5Re0.6,24,0,8.593842225903302,1312.4595640354996,178.41067702580523,Nb76Hf3W20Re1
1634762,Nb84.9Hf0.6Ta4.1W10.4,24,0,8.459502685771692,1293.3492890370512,188.48136479111483,Nb74Hf1Ta7W18
1562763,Nb83.7Zr1.2Ta4.1W11.0,24,0,8.422711782341842,1304.619575729826,181.89890151491502,Nb73Zr1Ta7W19
1635504,Nb84.2Hf1.8Ta2.4W11.7,24,0,8.337606785571229,1304.8371878657163,181.2830773278273,Nb73Hf3Ta4W20
1652566,Nb85.5Hf3.0W10.4Re1.1,24,0,8.336621155632542,1308.97606675104,178.93084095934086,Nb75Hf5W18Re2
1635104,Nb84.9Hf1.2Ta2.4W11.6,24,0,8.326818156781155,1304.9030523549231,181.18321101621774,Nb74Hf2Ta4W20
1634704,Nb85.5Hf0.6Ta2.3W11.5,24,0,8.096243920360461,1304.9017672758002,179.83773081279756,Nb75Hf1Ta4W20
1562802,Nb83.0Zr1.2Ta5.3W10.5,24,0,8.040135946740278,1288.8877206827676,188.47243898306778,Nb72Zr1Ta9W18
1562804,Nb81.6Zr1.2Ta5.4W11.8,24,0,8.037222779980155,1299.3313064181282,182.61947434513334,Nb70Zr1Ta9W20
1562784,Nb82.3Zr1.2Ta4.8W11.7,24,0,8.037222779980155,1299.3313064181282,182.61947434513334,Nb71Zr1Ta8W20
