alloy,temp,YS_Mpa,UTS_Mpa,formula
Nb79.9C0.1Mo10Ti10,538,330.27,455.07,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,649,317.17,415.08,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,760,266.15,373.02,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,871,248.91,316.48,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,982,225.47,250.29,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,1093,177.89,180.65,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,1260,,120.66,Nb72.8C0.7Mo8.8Ti17.7
Nb79.9C0.1Mo10Ti10,1427,55.16,70.33,Nb72.8C0.7Mo8.8Ti17.7
Nb94W5Zr1 ,24,450.93,584.01,Nb96.4W2.6Zr1.0
Nb94W5Zr1 ,871,344.75,399.91,Nb96.4W2.6Zr1.0
Nb94W5Zr1 ,1093,264.08,275.8,Nb96.4W2.6Zr1.0
Nb94W5Zr1 ,1260,193.06,208.92,Nb96.4W2.6Zr1.0
Nb94W5Zr1 ,1371,85.5,97.22,Nb96.4W2.6Zr1.0
Nb88.9C0.1W10Zr1,24,534.36,672.26,Nb92.9C0.8W5.3Zr1.1
Nb88.9C0.1W10Zr1,1093,272.35,324.07,Nb92.9C0.8W5.3Zr1.1
Nb88.9C0.1W10Zr1,1204,172.38,244.77,Nb92.9C0.8W5.3Zr1.1
Nb88.9C0.1W10Zr1,1316,151.69,175.82,Nb92.9C0.8W5.3Zr1.1
Nb88.9C0.1W10Zr1,1427,89.64,94.81,Nb92.9C0.8W5.3Zr1.1
Nb87.5W10Zr2.5,24,472.31,601.24,Nb92.0W5.3Zr2.7
Nb87.5W10Zr2.5,399,272.35,429.56,Nb92.0W5.3Zr2.7
Nb87.5W10Zr2.5,538,254.43,383.36,Nb92.0W5.3Zr2.7
Nb87.5W10Zr2.5,1093,181.34,242.01,Nb92.0W5.3Zr2.7
Nb87.5W10Zr2.5,1316,137.21,178.58,Nb92.0W5.3Zr2.7
Nb87.5W10Zr2.5,1482,115.15,117.22,Nb92.0W5.3Zr2.7
Nb87.5W10Zr2.5,1649,65.5,68.95,Nb92.0W5.3Zr2.7
Nb80Hf10W10,24,487.48,584.01,Nb88.6Hf5.8W5.6
Nb80Hf10W10,316,313.03,406.81,Nb88.6Hf5.8W5.6
Nb80Hf10W10,649,248.91,407.49,Nb88.6Hf5.8W5.6
Nb80Hf10W10,1093,200.64,270.28,Nb88.6Hf5.8W5.6
Nb80Hf10W10,1371,138.59,150.31,Nb88.6Hf5.8W5.6
Nb80Hf10W10,1482,120.66,126.18,Nb88.6Hf5.8W5.6
Nb80Hf10W10,1649,79.98,84.81,Nb88.6Hf5.8W5.6
Nb79Mo5W15Zr1,24,689.5,834.3,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,538,522.64,545.39,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,871,499.89,541.26,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,1093,406.81,450.24,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,1204,313.72,366.12,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,1288,268.91,311.65,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,1371,192.37,222.71,Nb85.5Mo5.2W8.2Zr1.1
Nb79Mo5W15Zr1,1482,157.21,171.0,Nb85.5Mo5.2W8.2Zr1.1
Nb74Mo5Ti5W15Zr1,30,558.01,849.66,Nb76.2Mo5.0Ti10.0W7.8Zr1.0
Nb74Mo5Ti5W15Zr1,649,459.71,650.7,Nb76.2Mo5.0Ti10.0W7.8Zr1.0
Nb74Mo5Ti5W15Zr1,1093,234.67,353.11,Nb76.2Mo5.0Ti10.0W7.8Zr1.0
Nb74Mo5Ti5W15Zr1,1205,185.44,252.04,Nb76.2Mo5.0Ti10.0W7.8Zr1.0
Nb79W20Zr1,24,985.99,1182.49,Nb87.7W11.2Zr1.1
Nb79W20Zr1,871,635.72,698.46,Nb87.7W11.2Zr1.1
Nb79W20Zr1,1093,559.18,586.08,Nb87.7W11.2Zr1.1
Nb79W20Zr1,1204,462.65,495.75,Nb87.7W11.2Zr1.1
Nb64W20Ti10Mo6,204,655.03,682.61,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,316,537.81,603.31,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,427,475.76,558.5,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,538,448.18,586.08,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,649,424.04,558.5,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,760,424.04,558.5,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,871,393.02,496.44,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,982,330.96,368.88,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,1093,313.72,337.86,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,1260,,172.38,Nb64.4W10.2Ti19.5Mo5.8
Nb64W20Ti10Mo6,1427,,147.55,Nb64.4W10.2Ti19.5Mo5.8
Nb89V5Mo5Zr1,24,604.0,768.1,Nb85.6V8.8Mo4.7Zr1.0
Nb89V5Mo5Zr1,982,450.93,482.65,Nb85.6V8.8Mo4.7Zr1.0
Nb89V5Mo5Zr1,1093,315.79,368.19,Nb85.6V8.8Mo4.7Zr1.0
Nb89V5Mo5Zr1,1204,260.63,287.8,Nb85.6V8.8Mo4.7Zr1.0
Nb89V5Mo5Zr1,1316,239.95,247.53,Nb85.6V8.8Mo4.7Zr1.0
Nb89V5Mo5Zr1,1427,202.02,178.58,Nb85.6V8.8Mo4.7Zr1.0
Nb89V5Mo5Zr1,1538,124.8,133.07,Nb85.6V8.8Mo4.7Zr1.0
