formula,T,UTS,formula_1,T_1,YS,add,sqrt
Nb77.6Ti17.7Zr4.7,22,554.62,Nb77.6Ti17.7Zr4.7,22,491.4,1046.02,740.9975063
Nb77.6Ti17.7Zr4.7,93,519.17,Nb77.6Ti17.7Zr4.7,93,455.19,974.36,690.4602994
Nb77.6Ti17.7Zr4.7,204,486.25,Nb77.6Ti17.7Zr4.7,204,404.5,890.75,632.5024209
Nb77.6Ti17.7Zr4.7,316,459.46,Nb77.6Ti17.7Zr4.7,316,361.04,820.5,584.3401177
Nb77.6Ti17.7Zr4.7,427,442.49,Nb77.6Ti17.7Zr4.7,427,315.18,757.67,543.2640541
Nb77.6Ti17.7Zr4.7,538,432.88,Nb77.6Ti17.7Zr4.7,538,280.18,713.06,515.6412772
Nb77.6Ti17.7Zr4.7,649,412.23,Nb77.6Ti17.7Zr4.7,649,262.07,674.3,488.4815839
Nb77.6Ti17.7Zr4.7,760,384.22,Nb77.6Ti17.7Zr4.7,760,248.79,633.01,457.7351554
Nb77.6Ti17.7Zr4.7,871,336.57,Nb77.6Ti17.7Zr4.7,871,239.14,575.71,412.8768636
Nb77.6Ti17.7Zr4.7,982,247.22,Nb77.6Ti17.7Zr4.7,982,196.89,444.11,316.0433522
Nb77.6Ti17.7Zr4.7,1093,165.22,Nb77.6Ti17.7Zr4.7,1093,152.23,317.45,224.6588999
Nb77.6Ti17.7Zr4.7,1149,128.09,Nb77.6Ti17.7Zr4.7,1149,128.09,256.18,181.1466152
Nb72.8C0.7Mo8.8Ti17.7,93,627.45,Nb72.8C0.7Mo8.8Ti17.7,93,598.49,1225.94,867.1123241
Nb72.8C0.7Mo8.8Ti17.7,204,550.91,Nb72.8C0.7Mo8.8Ti17.7,204,491.61,1042.52,738.3645578
Nb72.8C0.7Mo8.8Ti17.7,316,466.79,Nb72.8C0.7Mo8.8Ti17.7,316,380.6,847.39,602.2866959
Nb72.8C0.7Mo8.8Ti17.7,427,462.65,Nb72.8C0.7Mo8.8Ti17.7,427,380.6,843.25,599.0837859
Nb72.8C0.7Mo8.8Ti17.7,538,455.07,Nb72.8C0.7Mo8.8Ti17.7,538,330.27,785.34,562.2872734
Nb72.8C0.7Mo8.8Ti17.7,649,415.08,Nb72.8C0.7Mo8.8Ti17.7,649,317.17,732.25,522.3870359
Nb72.8C0.7Mo8.8Ti17.7,760,373.02,Nb72.8C0.7Mo8.8Ti17.7,760,266.15,639.17,458.2354667
Nb72.8C0.7Mo8.8Ti17.7,871,316.48,Nb72.8C0.7Mo8.8Ti17.7,871,248.91,565.39,402.6360373
Nb72.8C0.7Mo8.8Ti17.7,982,250.29,Nb72.8C0.7Mo8.8Ti17.7,982,225.47,475.76,336.8706057
Nb72.8C0.7Mo8.8Ti17.7,1093,180.65,Nb72.8C0.7Mo8.8Ti17.7,1093,177.89,358.54,253.5335769
Nb72.8C0.7Mo8.8Ti17.7,1427,70.33,Nb72.8C0.7Mo8.8Ti17.7,1427,55.16,125.49,89.38083967
Nb96.4W2.6Zr1.0,24,584.01,Nb96.4W2.6Zr1.0,24,450.93,1034.94,737.8384274
Nb96.4W2.6Zr1.0,871,399.91,Nb96.4W2.6Zr1.0,871,344.75,744.66,527.9967525
Nb96.4W2.6Zr1.0,1093,275.8,Nb96.4W2.6Zr1.0,1093,264.08,539.88,381.8427509
Nb96.4W2.6Zr1.0,1260,208.92,Nb96.4W2.6Zr1.0,1260,193.06,401.98,284.4639344
Nb96.4W2.6Zr1.0,1371,97.22,Nb96.4W2.6Zr1.0,1371,85.5,182.72,129.4680594
Nb92.9C0.8W5.3Zr1.1,24,672.26,Nb92.9C0.8W5.3Zr1.1,24,534.36,1206.62,858.7631322
Nb92.9C0.8W5.3Zr1.1,1093,324.07,Nb92.9C0.8W5.3Zr1.1,1093,272.35,596.42,423.3153522
Nb92.9C0.8W5.3Zr1.1,1204,244.77,Nb92.9C0.8W5.3Zr1.1,1204,172.38,417.15,299.3780508
Nb92.9C0.8W5.3Zr1.1,1316,175.82,Nb92.9C0.8W5.3Zr1.1,1316,151.69,327.51,232.2122488
Nb92.9C0.8W5.3Zr1.1,1427,94.81,Nb92.9C0.8W5.3Zr1.1,1427,89.64,184.45,130.4770696
Nb92.0W5.3Zr2.7,24,601.24,Nb92.0W5.3Zr2.7,24,472.31,1073.55,764.5693387
Nb92.0W5.3Zr2.7,399,429.56,Nb92.0W5.3Zr2.7,399,272.35,701.91,508.6219776
Nb92.0W5.3Zr2.7,538,383.36,Nb92.0W5.3Zr2.7,538,254.43,637.79,460.1081552
Nb92.0W5.3Zr2.7,1093,242.01,Nb92.0W5.3Zr2.7,1093,181.34,423.35,302.4120297
Nb92.0W5.3Zr2.7,1316,178.58,Nb92.0W5.3Zr2.7,1316,137.21,315.79,225.2052408
Nb92.0W5.3Zr2.7,1482,117.22,Nb92.0W5.3Zr2.7,1482,115.15,232.37,164.3169221
