formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1093,320.9123376
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1260,228.3947462
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1371,164.3907327
Nb74.9Ta17.7W6.2Zr1.3,74.9,1.3,0,17.7,6.2,0,0,0,0,1427,141.4065402
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,27,781.8950807
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,316,646.5906404
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,538,645.6831454
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,871,589.3334914
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,982,556.255011
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1093,459.2571275
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1204,361.7591637
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1316,228.1549123
Nb79.3Ta19.5Zr1.2,79.3,1.2,0,19.5,0,0,0,0,0,1427,184.5964274
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,22,740.9975063
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,93,690.4602994
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,204,632.5024209
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,316,584.3401177
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,427,543.2640541
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,538,515.6412772
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,649,488.4815839
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,760,457.7351554
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,871,412.8768636
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,982,316.0433522
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,1093,224.6588999
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,1149,181.1466152
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,93,867.1123241
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,204,738.3645578
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,316,602.2866959
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,427,599.0837859
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,538,562.2872734
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,649,522.3870359
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,760,458.2354667
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,871,402.6360373
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,982,336.8706057
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1093,253.5335769
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1427,89.38083967
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,24,737.8384274
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,871,527.9967525
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1093,381.8427509
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1260,284.4639344
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1371,129.4680594
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,24,858.7631322
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1093,423.3153522
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1204,299.3780508
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1316,232.2122488
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1427,130.4770696
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,24,764.5693387
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,399,508.6219776
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,538,460.1081552
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1093,302.4120297
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1316,225.2052408
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1482,164.3169221
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1649,95.10180072
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,24,1082.343171
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,538,755.3825665
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,871,736.7851788
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1093,606.8034556
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1204,482.1453026
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1288,411.6288505
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1371,294.2889074
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1482,232.2842743
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,30,1016.51231
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,649,796.7080859
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,1093,423.9772175
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,1205,312.9091804
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,24,977.1354103
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,982,660.5216782
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1093,485.0641197
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1204,388.2741775
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1316,344.7420824
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1427,269.634747
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1538,182.4353718
