formula,T,target,,formula,T,target
Nb72.8C0.7Mo8.8Ti17.7,93,627.45,,Nb72.8C0.7Mo8.8Ti17.7,93,598.49
Nb72.8C0.7Mo8.8Ti17.7,204,550.91,,Nb72.8C0.7Mo8.8Ti17.7,204,491.61
Nb72.8C0.7Mo8.8Ti17.7,316,466.79,,Nb72.8C0.7Mo8.8Ti17.7,316,380.6
Nb72.8C0.7Mo8.8Ti17.7,427,462.65,,Nb72.8C0.7Mo8.8Ti17.7,427,380.6
Nb72.8C0.7Mo8.8Ti17.7,538,455.07,,Nb72.8C0.7Mo8.8Ti17.7,538,330.27
Nb72.8C0.7Mo8.8Ti17.7,649,415.08,,Nb72.8C0.7Mo8.8Ti17.7,649,317.17
Nb72.8C0.7Mo8.8Ti17.7,760,373.02,,Nb72.8C0.7Mo8.8Ti17.7,760,266.15
Nb72.8C0.7Mo8.8Ti17.7,871,316.48,,Nb72.8C0.7Mo8.8Ti17.7,871,248.91
Nb72.8C0.7Mo8.8Ti17.7,982,250.29,,Nb72.8C0.7Mo8.8Ti17.7,982,225.47
Nb72.8C0.7Mo8.8Ti17.7,1093,180.65,,Nb72.8C0.7Mo8.8Ti17.7,1093,177.89
Nb72.8C0.7Mo8.8Ti17.7,1427,70.33,,Nb72.8C0.7Mo8.8Ti17.7,1427,55.16
Nb96.4W2.6Zr1.0,24,584.01,,Nb96.4W2.6Zr1.0,24,450.93
Nb96.4W2.6Zr1.0,871,399.91,,Nb96.4W2.6Zr1.0,871,344.75
Nb96.4W2.6Zr1.0,1093,275.8,,Nb96.4W2.6Zr1.0,1093,264.08
Nb96.4W2.6Zr1.0,1260,208.92,,Nb96.4W2.6Zr1.0,1260,193.06
Nb96.4W2.6Zr1.0,1371,97.22,,Nb96.4W2.6Zr1.0,1371,85.5
Nb92.9C0.8W5.3Zr1.1,24,672.26,,Nb92.9C0.8W5.3Zr1.1,24,534.36
Nb92.9C0.8W5.3Zr1.1,1093,324.07,,Nb92.9C0.8W5.3Zr1.1,1093,272.35
Nb92.9C0.8W5.3Zr1.1,1204,244.77,,Nb92.9C0.8W5.3Zr1.1,1204,172.38
Nb92.9C0.8W5.3Zr1.1,1316,175.82,,Nb92.9C0.8W5.3Zr1.1,1316,151.69
Nb92.9C0.8W5.3Zr1.1,1427,94.81,,Nb92.9C0.8W5.3Zr1.1,1427,89.64
Nb92.0W5.3Zr2.7,24,601.24,,Nb92.0W5.3Zr2.7,24,472.31
Nb92.0W5.3Zr2.7,399,429.56,,Nb92.0W5.3Zr2.7,399,272.35
Nb92.0W5.3Zr2.7,538,383.36,,Nb92.0W5.3Zr2.7,538,254.43
Nb92.0W5.3Zr2.7,1093,242.01,,Nb92.0W5.3Zr2.7,1093,181.34
Nb92.0W5.3Zr2.7,1316,178.58,,Nb92.0W5.3Zr2.7,1316,137.21
Nb92.0W5.3Zr2.7,1482,117.22,,Nb92.0W5.3Zr2.7,1482,115.15
Nb92.0W5.3Zr2.7,1649,68.95,,Nb92.0W5.3Zr2.7,1649,65.5
Nb85.5Mo5.2W8.2Zr1.1,24,834.3,,Nb85.5Mo5.2W8.2Zr1.1,24,689.5
Nb85.5Mo5.2W8.2Zr1.1,538,545.39,,Nb85.5Mo5.2W8.2Zr1.1,538,522.64
Nb85.5Mo5.2W8.2Zr1.1,871,541.26,,Nb85.5Mo5.2W8.2Zr1.1,871,499.89
Nb85.5Mo5.2W8.2Zr1.1,1093,450.24,,Nb85.5Mo5.2W8.2Zr1.1,1093,406.81
Nb85.5Mo5.2W8.2Zr1.1,1204,366.12,,Nb85.5Mo5.2W8.2Zr1.1,1204,313.72
Nb85.5Mo5.2W8.2Zr1.1,1288,311.65,,Nb85.5Mo5.2W8.2Zr1.1,1288,268.91
Nb85.5Mo5.2W8.2Zr1.1,1371,222.71,,Nb85.5Mo5.2W8.2Zr1.1,1371,192.37
Nb85.5Mo5.2W8.2Zr1.1,1482,171,,Nb85.5Mo5.2W8.2Zr1.1,1482,157.21
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66,,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,558.01
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,649,650.7,,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,649,459.71
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1093,353.11,,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1093,234.67
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1205,252.04,,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1205,185.44
Nb85.6V8.8Mo4.7Zr1.0,24,768.1,,Nb85.6V8.8Mo4.7Zr1.0,24,604
Nb85.6V8.8Mo4.7Zr1.0,982,482.65,,Nb85.6V8.8Mo4.7Zr1.0,982,450.93
Nb85.6V8.8Mo4.7Zr1.0,1093,368.19,,Nb85.6V8.8Mo4.7Zr1.0,1093,315.79
Nb85.6V8.8Mo4.7Zr1.0,1204,287.8,,Nb85.6V8.8Mo4.7Zr1.0,1204,260.63
Nb85.6V8.8Mo4.7Zr1.0,1316,247.53,,Nb85.6V8.8Mo4.7Zr1.0,1316,239.95
Nb85.6V8.8Mo4.7Zr1.0,1427,178.58,,Nb85.6V8.8Mo4.7Zr1.0,1427,202.02
Nb85.6V8.8Mo4.7Zr1.0,1538,133.07,,Nb85.6V8.8Mo4.7Zr1.0,1538,124.8
