formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,1149,128.09
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,24,637.79
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,93,627.45
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,204,550.91
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,316,466.79
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,427,462.65
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,538,455.07
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,649,415.08
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,760,373.02
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,871,316.48
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,982,250.29
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1093,180.65
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1260,120.66
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1427,70.33
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,24,584.01
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,871,399.91
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1093,275.8
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1260,208.92
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1371,97.22
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,24,672.26
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1093,324.07
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1204,244.77
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1316,175.82
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1427,94.81
