formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb77.6Ti17.7Zr4.7,77.6,4.7,0,0,0,17.7,0,0,0,1149,128.09
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,93,598.49
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,204,491.61
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,316,380.6
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,427,380.6
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,538,330.27
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,649,317.17
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,760,266.15
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,871,248.91
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,982,225.47
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1093,177.89
Nb72.8C0.7Mo8.8Ti17.7,72.8,0,0,0,0,17.7,8.8,0.7,0,1427,55.16
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,24,450.93
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,871,344.75
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1093,264.08
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1260,193.06
Nb96.4W2.6Zr1.0,96.4,1,0,0,2.6,0,0,0,0,1371,85.5
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,24,534.36
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1093,272.35
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1204,172.38
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1316,151.69
Nb92.9C0.8W5.3Zr1.1,92.9,1.1,0,0,5.3,0,0,0.8,0,1427,89.64
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,24,472.31
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,399,272.35
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,538,254.43
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1093,181.34
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1316,137.21
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1482,115.15
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1649,65.5
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,24,689.5
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,538,522.64
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,871,499.89
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1093,406.81
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1204,313.72
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1288,268.91
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1371,192.37
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1482,157.21
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,30,558.01
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,649,459.71
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,1093,234.67
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,1205,185.44
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,24,604
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,982,450.93
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1093,315.79
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1204,260.63
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1316,239.95
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1427,202.02
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1538,124.8
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,24,347.51
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1093,126.87
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1371,71.02
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1482,59.3
