formula,mean,std,ei
Nb55.6B5.5C4.9N21.2Si12.7,638.4834887057333,65.7476306006232,4.992983121388539e-16
Nb54.2B5.4C4.9N20.9Si14.6,638.6577921800704,65.80912391326085,5.458722265047292e-16
Nb52.8B5.3C4.8N20.6Si16.4,638.7186695745555,65.81560160769656,5.540478940382768e-16
Nb51.4B5.3C4.7N20.3Si18.2,638.7186695745555,65.81560160769656,5.540478940382768e-16
Nb50.1B5.2C4.7N20.0Si20.0,638.8422378921929,65.88788085294637,6.086317766220221e-16
Nb48.8B5.1C4.6N19.8Si21.7,638.8441909577072,65.88489490474146,6.068289648719164e-16
Nb47.6B5.0C4.5N19.5Si23.3,638.8441909577072,65.88489490474146,6.068289648719164e-16
Nb46.4B5.0C4.5N19.2Si24.9,638.8441909577072,65.88489490474146,6.068289648719164e-16
Nb45.2B4.9C4.4N19.0Si26.5,638.881467225791,65.90310782576452,6.218294547037048e-16
Nb44.0B4.9C4.4N18.7Si28.0,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb42.9B4.8C4.3N18.5Si29.5,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb41.8B4.7C4.3N18.2Si30.9,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb40.8B4.7C4.2N18.0Si32.4,640.1964912240288,66.92422715504595,2.147061249574829e-15
Nb39.7B4.6C4.2N17.8Si33.7,640.1636747860024,66.95707048185038,2.2114448326138727e-15
