formula,T,target
Nb85.5Mo5.2W8.2Zr1.1,1371,222.71
Nb85.5Mo5.2W8.2Zr1.1,1482,171.0
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,649,650.7
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1093,353.11
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1205,252.04
Nb87.7W11.2Zr1.1,24,1182.49
Nb87.7W11.2Zr1.1,871,698.46
Nb87.7W11.2Zr1.1,1093,586.08
Nb87.7W11.2Zr1.1,1204,495.75
Nb64.4W10.2Ti19.5Mo5.8,204,682.61
Nb64.4W10.2Ti19.5Mo5.8,316,603.31
Nb64.4W10.2Ti19.5Mo5.8,427,558.5
Nb64.4W10.2Ti19.5Mo5.8,538,586.08
Nb64.4W10.2Ti19.5Mo5.8,649,558.5
Nb64.4W10.2Ti19.5Mo5.8,760,558.5
Nb64.4W10.2Ti19.5Mo5.8,871,496.44
Nb64.4W10.2Ti19.5Mo5.8,982,368.88
Nb64.4W10.2Ti19.5Mo5.8,1093,337.86
Nb64.4W10.2Ti19.5Mo5.8,1260,172.38
Nb64.4W10.2Ti19.5Mo5.8,1427,147.55
Nb85.6V8.8Mo4.7Zr1.0,24,768.1
Nb85.6V8.8Mo4.7Zr1.0,982,482.65
Nb85.6V8.8Mo4.7Zr1.0,1093,368.19
Nb85.6V8.8Mo4.7Zr1.0,1204,287.8
Nb85.6V8.8Mo4.7Zr1.0,1316,247.53
Nb85.6V8.8Mo4.7Zr1.0,1427,178.58
Nb85.6V8.8Mo4.7Zr1.0,1538,133.07
